행정구역코드,시도명,시군구명,읍면동명,혼잡시간강도,혼잡빈도강도,전체추정교통량,등록차수,교통량,승용차 추정교통량,버스 추정교통량,화물차 추정교통량,주차장혼잡평균
1101053,서울특별시,종로구,사직동,95.12,90.43,18445,8170,2.257649939,15038,100,3307,4.411214953
1101054,서울특별시,종로구,삼청동,53.03,32.45,9841,777,12.66537967,8195,39,1607,44.73676012
1101055,서울특별시,종로구,부암동,74.4,60.51,17090,3140,5.442675159,13951,107,3032,42.71183801
1101056,서울특별시,종로구,평창동,59.39,45.55,13694,6609,2.072022999,11105,86,2503,19.59813084
1101057,서울특별시,종로구,무악동,67.78,36.04,25492,2796,9.117310443,20986,142,4364,76.59034268
1101058,서울특별시,종로구,교남동,71.99,56.4,16904,2942,5.74575119,13777,88,3039,25.23520249
1101060,서울특별시,종로구,가회동,75.69,57.29,6218,1265,4.91541502,5003,24,1191,57.85825545
1101061,서울특별시,종로구,종로1·2·3·4가동,85.28,66.23,18109,6317,2.866708881,14828,89,3192,73.98364486
1101063,서울특별시,종로구,종로5·6가동,89.97,75.37,12896,1749,7.373356204,10417,60,2419,83.4228972
1101064,서울특별시,종로구,이화동,66.47,33.04,20222,1714,11.79813302,16612,87,3523,51.99221184
1101067,서울특별시,종로구,창신1동,98.02,93.56,19717,2634,7.485573273,15995,106,3616,47.4953271
1101069,서울특별시,종로구,창신3동,22.39,3.78,9673,1657,5.837658419,7758,39,1876,5.559190031
1101070,서울특별시,종로구,숭인1동,82.61,67.69,16491,1477,11.16519973,13321,79,3091,75.65109034
1101071,서울특별시,종로구,숭인2동,98.56,94.6,23491,2185,10.75102975,19103,135,4253,27.93068536
1101072,서울특별시,종로구,청운효자동,52.06,28.04,5442,113725,0.047852275,4435,21,986,77.73909657
1101073,서울특별시,종로구,혜화동,72.55,43.76,10935,3505,3.119828816,8951,41,1943,15.60124611
1102052,서울특별시,중구,소공동,72.15,42.81,21582,4174,5.17057978,17385,112,4085,24.89018692
1102054,서울특별시,중구,회현동,70.17,41.71,17665,11612,1.521271099,13872,88,3705,18.23676012
1102055,서울특별시,중구,명동,73.12,42.89,20685,16790,1.231983323,16636,108,3941,27.52725857
1102057,서울특별시,중구,필동,55.82,28.73,19431,2110,9.209004739,15634,104,3693,20.0529595
1102058,서울특별시,중구,장충동,55.4,29.02,17985,1304,13.79217791,14260,92,3633,55.65965732
1102059,서울특별시,중구,광희동,73.04,41.14,16424,2434,6.747740345,13201,85,3138,84.7546729
1102060,서울특별시,중구,을지로동,77.94,47.08,13399,1610,8.322360248,10808,63,2528,8.111370717
1102065,서울특별시,중구,신당5동,75.93,49.66,17878,2990,5.979264214,14510,95,3273,5.989096573
1102067,서울특별시,중구,황학동,83.98,57.28,13620,3461,3.935278821,11052,68,2500,14.93302181
1102068,서울특별시,중구,중림동,65.93,37.07,14198,3822,3.714809001,11282,77,2839,147.4190031
1102069,서울특별시,중구,신당동,78,54.6,10902,3376,3.229265403,8785,53,2064,49.01479751
1102070,서울특별시,중구,다산동,57.04,26.46,29501,3352,8.80101432,23878,164,5459,200.8613707
1102071,서울특별시,중구,약수동,64.06,37.88,20243,4730,4.279704017,16116,104,4023,16.00389408
1102072,서울특별시,중구,청구동,89.58,74.69,18431,3544,5.200620767,14744,88,3599,16.00389408
1102073,서울특별시,중구,동화동,76.39,50.87,10008,5920,1.690540541,7963,46,1999,39.32398754
1103051,서울특별시,용산구,후암동,44.09,31.63,8117,2014,4.030287984,6027,35,2055,100.6183801
1103052,서울특별시,용산구,용산2가동,46.73,27.86,10860,2124,5.11299435,15609,145,4106,3.500778816
1103053,서울특별시,용산구,남영동,65.86,38.87,26191,2660,9.846240602,20481,135,5575,6.569314642
1103057,서울특별시,용산구,원효로2동,70.8,58.89,22914,5039,4.54733082,17798,299,4817,18.23676012
1103058,서울특별시,용산구,효창동,67.1,38.11,12309,3247,3.790883893,9494,57,2758,27.52725857
1103059,서울특별시,용산구,용문동,81.06,63.6,5662,3368,1.68111639,4200,23,1439,20.0529595
1103063,서울특별시,용산구,이촌1동,77.47,63.18,53450,8907,6.00089817,41919,1138,10393,55.65965732
1103064,서울특별시,용산구,이촌2동,84.73,71.08,53588,12709,4.21653946,41918,1023,10647,84.7546729
1103065,서울특별시,용산구,이태원1동,55.36,36.8,14017,2310,6.067965368,10847,110,3060,8.111370717
1103066,서울특별시,용산구,이태원2동,51.23,31.99,12939,2532,5.110189573,9966,64,2909,5.989096573
1103069,서울특별시,용산구,서빙고동,70.25,58.05,37378,4714,7.929147221,29087,781,7510,14.93302181
1103070,서울특별시,용산구,보광동,76.32,63.55,19487,3076,6.335175553,15143,323,4021,147.4190031
1103071,서울특별시,용산구,청파동,67.72,38.19,11620,4281,2.714319084,9026,60,2534,42.71183801
1103072,서울특별시,용산구,원효로1동,64.02,37.66,16160,6336,2.550505051,12351,84,3725,19.59813084
1103073,서울특별시,용산구,한강로동,64.23,33.09,25437,12285,2.070573871,19700,132,5605,76.59034268
1103074,서울특별시,용산구,한남동,57.66,38.12,33903,7492,4.525226909,26786,493,6624,25.23520249
1104052,서울특별시,성동구,왕십리2동,68.17,41.4,15787,4485,3.519955407,12851,84,2852,57.85825545
1104054,서울특별시,성동구,마장동,60.8,37.64,21036,8577,2.452605806,17220,144,3672,73.98364486
1104055,서울특별시,성동구,사근동,57.94,34.01,17347,2266,7.655339806,14118,156,3073,83.4228972
1104056,서울특별시,성동구,행당1동,59.13,31.08,20238,4222,4.793462814,16619,120,3499,51.99221184
1104057,서울특별시,성동구,행당2동,68.72,38.26,7514,6717,1.118654161,6113,35,1366,47.4953271
1104058,서울특별시,성동구,응봉동,48.16,24.69,17694,4547,3.891356939,14483,107,3104,5.559190031
1104059,서울특별시,성동구,금호1가동,69.97,46.17,7682,4537,1.693189332,6224,36,1422,75.65109034
1104062,서울특별시,성동구,금호4가동,61.06,33.91,34997,4796,7.297122602,28050,363,6584,27.93068536
1104065,서울특별시,성동구,성수1가1동,75.69,52.78,35066,10397,3.372703665,27813,718,6535,77.73909657
1104066,서울특별시,성동구,성수1가2동,73.98,57.43,33416,9759,3.424121324,26801,584,6031,15.60124611
1104067,서울특별시,성동구,성수2가1동,89.15,78.24,32444,9981,3.250576095,25649,591,6204,24.89018692
1104068,서울특별시,성동구,성수2가3동,78.12,49.27,10121,6992,1.447511442,8332,55,1734,18.23676012
1104069,서울특별시,성동구,송정동,70.46,55.29,37201,2792,13.3241404,29837,690,6674,27.52725857
1104070,서울특별시,성동구,용답동,55.43,28.73,24668,7795,3.164592688,20006,241,4421,20.0529595
1104071,서울특별시,성동구,왕십리도선동,73.37,44.33,12502,8066,1.549962807,10162,62,2278,55.65965732
1104072,서울특별시,성동구,금호2·3가동,55.65,38.74,20021,6261,3.197731992,16161,111,3749,84.7546729
1104073,서울특별시,성동구,옥수동,60.99,35.96,34182,8857,3.859320312,27276,498,6408,42.71183801
